observation_id,species,region,latitude,longitude,risk_score,observation_date
OBS-00052,salamander,Great Lakes,47.88,-82.12,0.336,2020-02-22
OBS-00053,frog,Pacific Coast,47.78,-96.44,0.164,2020-02-23
OBS-00054,bird,Prairie,46.38,-87.68,0.846,2020-02-24
OBS-00055,fish,Atlantic,46.46,-91.96,0.28,2020-02-25
OBS-00056,salamander,Great Lakes,43.4,-82.4,0.878,2020-02-26
OBS-00057,frog,Pacific Coast,48.44,-98.16,0.33,2020-02-27
OBS-00058,bird,Prairie,40.6,-89.2,0.34,2020-02-28
OBS-00059,fish,Atlantic,45.08,-85.2,0.12,2020-02-29
OBS-00060,salamander,Great Lakes,48.42,-98.08,0.99,2020-03-01
OBS-00061,frog,Pacific Coast,41.8,-88.16,0.742,2020-03-02
OBS-00062,bird,Prairie,47.84,-85.72,0.768,2020-03-03
OBS-00063,fish,Atlantic,40.64,-94.84,0.5,2020-03-04
OBS-00064,salamander,Great Lakes,41.28,-82.6,0.364,2020-03-05
OBS-00065,frog,Pacific Coast,45.7,-94.16,0.736,2020-03-06
OBS-00066,bird,Prairie,40.8,-89.03999999999999,0.484,2020-03-07
OBS-00067,fish,Atlantic,41.9,-81.96000000000001,0.37,2020-03-08
OBS-00068,salamander,Great Lakes,42.58,-84.64,0.02,2020-03-09
OBS-00069,frog,Pacific Coast,48.56,-86.04,0.832,2020-03-10
OBS-00070,bird,Prairie,49.2,-96.28,0.606,2020-03-11
OBS-00071,fish,Atlantic,41.3,-97.24,0.128,2020-03-12
OBS-00072,salamander,Great Lakes,44.44,-99.84,0.2,2020-03-13
OBS-00073,frog,Pacific Coast,46.68,-99.8,0.902,2020-03-14
OBS-00074,bird,Prairie,44.58,-99.68,0.714,2020-03-15
OBS-00075,fish,Atlantic,46.879999999999995,-98.2,0.442,2020-03-16
OBS-00076,salamander,Great Lakes,42.12,-84.36,0.614,2020-03-17
OBS-00077,frog,Pacific Coast,41.6,-85.16,0.102,2020-03-18
OBS-00078,bird,Prairie,49.379999999999995,-92.44,0.984,2020-03-19
OBS-00079,fish,Atlantic,41.14,-89.44,0.312,2020-03-20
OBS-00080,salamander,Great Lakes,45.74,-83.96000000000001,0.776,2020-03-21
OBS-00081,frog,Pacific Coast,44.74,-98.56,0.458,2020-03-22
OBS-00082,bird,Prairie,41.34,-91.48,0.494,2020-03-23
OBS-00083,fish,Atlantic,46.18,-83.75999999999999,0.53,2020-03-24
OBS-00084,salamander,Great Lakes,49.42,-91.2,0.094,2020-03-25
OBS-00085,frog,Pacific Coast,43.92,-85.24,0.092,2020-03-26
OBS-00086,bird,Prairie,46.56,-88.36,0.854,2020-03-27
OBS-00087,fish,Atlantic,48.4,-87.64,0.78,2020-03-28
OBS-00088,salamander,Great Lakes,49.980000000000004,-97.2,0.32,2020-03-29
OBS-00089,frog,Pacific Coast,46.86,-91.08,0.016,2020-03-30
OBS-00090,bird,Prairie,45.14,-85.03999999999999,0.962,2020-03-31
OBS-00091,fish,Atlantic,42.6,-81.56,0.378,2020-04-01
OBS-00092,salamander,Great Lakes,42.1,-97.84,0.462,2020-04-02
OBS-00093,frog,Pacific Coast,47.54,-87.12,0.676,2020-04-03
OBS-00094,bird,Prairie,49.64,-83.28,0.414,2020-04-04
OBS-00095,fish,Atlantic,43.88,-99.44,0.654,2020-04-05
OBS-00096,salamander,Great Lakes,48.0,-90.52,0.622,2020-04-06
OBS-00097,frog,Pacific Coast,47.24,-81.64,0.35,2020-04-07
OBS-00098,bird,Prairie,45.480000000000004,-82.64,0.412,2020-04-08
OBS-00099,fish,Atlantic,42.74,-99.08,0.452,2020-04-09
OBS-00100,salamander,Great Lakes,43.0,-89.48,0.604,2020-04-10
OBS-00101,frog,Pacific Coast,40.26,-95.16,0.986,2020-04-11
OBS-00102,bird,Prairie,48.26,-83.6,0.644,2020-04-12
OBS-00103,fish,Atlantic,44.08,-84.08,0.166,2020-04-13
OBS-00104,salamander,Great Lakes,42.56,-81.52,0.914,2020-04-14
OBS-00105,frog,Pacific Coast,49.1,-91.36,0.73,2020-04-15
OBS-00106,bird,Prairie,42.7,-85.32,0.278,2020-04-16
OBS-00107,fish,Atlantic,40.76,-94.72,0.758,2020-04-17
OBS-00108,salamander,Great Lakes,41.48,-95.04,0.76,2020-04-18
OBS-00109,frog,Pacific Coast,48.66,-82.56,0.698,2020-04-19
OBS-00110,bird,Prairie,43.56,-86.24000000000001,0.344,2020-04-20
OBS-00111,fish,Atlantic,48.06,-82.72,0.874,2020-04-21
OBS-00112,salamander,Great Lakes,40.98,-93.04,0.774,2020-04-22
OBS-00113,frog,Pacific Coast,44.28,-93.24,0.048,2020-04-23
OBS-00114,bird,Prairie,42.92,-91.6,0.524,2020-04-24
OBS-00115,fish,Atlantic,47.8,-92.16,0.51,2020-04-25
OBS-00116,salamander,Great Lakes,45.28,-83.03999999999999,0.968,2020-04-26
OBS-00117,frog,Pacific Coast,46.32,-89.76,0.406,2020-04-27
OBS-00118,bird,Prairie,47.68,-81.44,0.892,2020-04-28
OBS-00119,fish,Atlantic,48.82,-96.36,0.156,2020-04-29
OBS-00120,salamander,Great Lakes,43.2,-85.84,0.184,2020-04-30
OBS-00121,frog,Pacific Coast,41.86,-81.16,0.112,2020-05-01
OBS-00122,bird,Prairie,41.2,-95.96,0.018,2020-05-02
OBS-00123,fish,Atlantic,45.78,-95.12,0.11,2020-05-03
OBS-00124,salamander,Great Lakes,49.4,-84.4,0.108,2020-05-04
OBS-00125,frog,Pacific Coast,47.1,-86.48,0.012,2020-05-05
OBS-00126,bird,Prairie,45.4,-92.4,0.296,2020-05-06
OBS-00127,fish,Atlantic,44.8,-90.72,0.426,2020-05-07
OBS-00128,salamander,Great Lakes,43.08,-90.48,0.636,2020-05-08
OBS-00129,frog,Pacific Coast,40.0,-92.03999999999999,0.624,2020-05-09
OBS-00130,bird,Prairie,48.9,-90.8,0.224,2020-05-10
OBS-00131,fish,Atlantic,46.480000000000004,-80.03999999999999,0.152,2020-05-11
OBS-00132,salamander,Great Lakes,42.68,-81.92,0.928,2020-05-12
OBS-00133,frog,Pacific Coast,41.64,-94.12,0.86,2020-05-13
OBS-00134,bird,Prairie,44.6,-92.88,0.672,2020-05-14
OBS-00135,fish,Atlantic,45.66,-84.28,0.19,2020-05-15
OBS-00136,salamander,Great Lakes,41.08,-85.92,0.594,2020-05-16
OBS-00137,frog,Pacific Coast,49.120000000000005,-95.6,0.888,2020-05-17
OBS-00138,bird,Prairie,43.24,-85.48,0.63,2020-05-18
OBS-00139,fish,Atlantic,47.28,-94.6,0.394,2020-05-19
OBS-00140,salamander,Great Lakes,45.3,-94.4,0.512,2020-05-20
OBS-00141,frog,Pacific Coast,46.019999999999996,-81.0,0.894,2020-05-21
OBS-00142,bird,Prairie,48.72,-89.0,0.332,2020-05-22
OBS-00143,fish,Atlantic,45.88,-99.64,0.372,2020-05-23
OBS-00144,salamander,Great Lakes,43.26,-88.44,0.252,2020-05-24
OBS-00145,frog,Pacific Coast,40.24,-98.8,0.688,2020-05-25
OBS-00146,bird,Prairie,41.84,-94.04,0.306,2020-05-26
OBS-00147,fish,Atlantic,46.94,-82.84,0.056,2020-05-27
OBS-00148,salamander,Great Lakes,46.4,-98.6,0.61,2020-05-28
OBS-00149,frog,Pacific Coast,47.12,-98.36,0.696,2020-05-29
OBS-00150,bird,Prairie,41.68,-98.32,0.876,2020-05-30
OBS-00151,fish,Atlantic,45.24,-94.32,0.59,2020-05-31
OBS-00152,salamander,Great Lakes,49.74,-84.0,0.726,2020-06-01
OBS-00153,frog,Pacific Coast,41.26,-94.24,0.052,2020-06-02
OBS-00154,bird,Prairie,41.96,-91.24,0.706,2020-06-03
OBS-00155,fish,Atlantic,42.94,-96.12,0.222,2020-06-04
OBS-00156,salamander,Great Lakes,48.980000000000004,-86.64,0.046,2020-06-05
OBS-00157,frog,Pacific Coast,49.78,-84.56,0.104,2020-06-06
OBS-00158,bird,Prairie,48.76,-80.84,0.824,2020-06-07
OBS-00159,fish,Atlantic,47.92,-86.32,0.674,2020-06-08
OBS-00160,salamander,Great Lakes,47.6,-84.8,0.118,2020-06-09
OBS-00161,frog,Pacific Coast,48.24,-84.2,0.068,2020-06-10
OBS-00162,bird,Prairie,48.5,-82.92,0.516,2020-06-11
OBS-00163,fish,Atlantic,44.38,-82.76,0.638,2020-06-12
OBS-00164,salamander,Great Lakes,44.1,-88.56,0.662,2020-06-13
OBS-00165,frog,Pacific Coast,42.46,-95.28,0.592,2020-06-14
OBS-00166,bird,Prairie,44.06,-90.68,0.31,2020-06-15
OBS-00167,fish,Atlantic,49.54,-83.2,0.806,2020-06-16
OBS-00168,salamander,Great Lakes,49.92,-93.8,0.282,2020-06-17
OBS-00169,frog,Pacific Coast,48.14,-80.6,0.954,2020-06-18
OBS-00170,bird,Prairie,44.22,-98.84,0.434,2020-06-19
OBS-00171,fish,Atlantic,45.56,-81.28,0.82,2020-06-20
OBS-00172,salamander,Great Lakes,43.12,-98.52,0.054,2020-06-21
OBS-00173,frog,Pacific Coast,45.8,-93.76,0.642,2020-06-22
OBS-00174,bird,Prairie,42.82,-84.76,0.182,2020-06-23
OBS-00175,fish,Atlantic,43.14,-98.12,0.66,2020-06-24
OBS-00176,salamander,Great Lakes,46.36,-95.52,0.366,2020-06-25
OBS-00177,frog,Pacific Coast,47.82,-97.6,0.16,2020-06-26
OBS-00178,bird,Prairie,47.06,-80.44,0.082,2020-06-27
OBS-00179,fish,Atlantic,49.44,-92.36,0.634,2020-06-28
OBS-00180,salamander,Great Lakes,43.66,-86.52,0.992,2020-06-29
OBS-00181,frog,Pacific Coast,40.02,-91.52,0.7,2020-06-30
OBS-00182,bird,Prairie,41.24,-95.56,0.568,2020-07-01
OBS-00183,fish,Atlantic,44.54,-96.64,0.214,2020-07-02
OBS-00184,salamander,Great Lakes,40.54,-81.32,0.712,2020-07-03
OBS-00185,frog,Pacific Coast,45.96,-85.96000000000001,0.836,2020-07-04
OBS-00186,bird,Prairie,41.56,-84.03999999999999,0.924,2020-07-05
OBS-00187,fish,Atlantic,44.4,-83.84,0.728,2020-07-06
OBS-00188,salamander,Great Lakes,48.120000000000005,-81.36,0.446,2020-07-07
OBS-00189,frog,Pacific Coast,46.0,-91.28,0.374,2020-07-08
OBS-00190,bird,Prairie,42.78,-92.12,0.756,2020-07-09
OBS-00191,fish,Atlantic,46.76,-80.96000000000001,0.144,2020-07-10
OBS-00192,salamander,Great Lakes,42.04,-89.8,0.418,2020-07-11
OBS-00193,frog,Pacific Coast,42.54,-84.92,0.544,2020-07-12
OBS-00194,bird,Prairie,44.36,-86.76,0.258,2020-07-13
OBS-00195,fish,Atlantic,40.94,-91.72,0.42,2020-07-14
OBS-00196,salamander,Great Lakes,47.3,-92.28,0.174,2020-07-15
OBS-00197,frog,Pacific Coast,41.94,-86.68,0.788,2020-07-16
OBS-00198,bird,Prairie,42.22,-95.44,0.608,2020-07-17
OBS-00199,fish,Atlantic,47.0,-83.72,0.958,2020-07-18
OBS-00200,salamander,Great Lakes,45.2,-99.4,0.022,2020-07-19
OBS-00201,frog,Pacific Coast,46.12,-86.16,0.0,2020-07-20
OBS-00202,bird,Prairie,47.56,-97.88,0.704,2020-07-21
OBS-00203,fish,Atlantic,49.56,-86.6,0.54,2020-07-22
OBS-00204,salamander,Great Lakes,46.24,-90.56,0.93,2020-07-23
OBS-00205,frog,Pacific Coast,40.96,-94.96,0.95,2020-07-24
OBS-00206,bird,Prairie,42.26,-88.0,0.388,2020-07-25
OBS-00207,fish,Atlantic,44.62,-82.28,0.918,2020-07-26
OBS-00208,salamander,Great Lakes,42.28,-84.44,0.826,2020-07-27
OBS-00209,frog,Pacific Coast,43.8,-80.16,0.268,2020-07-28
OBS-00210,bird,Prairie,47.5,-97.96,0.896,2020-07-29
OBS-00211,fish,Atlantic,47.42,-91.12,0.562,2020-07-30
OBS-00212,salamander,Great Lakes,46.74,-83.16,0.922,2020-07-31
OBS-00213,frog,Pacific Coast,42.06,-85.76,0.496,2020-08-01
OBS-00214,bird,Prairie,43.06,-82.48,0.404,2020-08-02
OBS-00215,fish,Atlantic,40.34,-93.28,0.078,2020-08-03
OBS-00216,salamander,Great Lakes,48.46,-95.32,0.574,2020-08-04
OBS-00217,frog,Pacific Coast,43.64,-99.96,0.154,2020-08-05
OBS-00218,bird,Prairie,46.7,-85.12,0.628,2020-08-06
OBS-00219,fish,Atlantic,49.0,-82.32,0.428,2020-08-07
OBS-00220,salamander,Great Lakes,48.16,-89.88,0.616,2020-08-08
OBS-00221,frog,Pacific Coast,49.9,-80.24000000000001,0.96,2020-08-09
OBS-00222,bird,Prairie,45.26,-89.68,0.042,2020-08-10
OBS-00223,fish,Atlantic,47.22,-90.24,0.198,2020-08-11
OBS-00224,salamander,Great Lakes,45.64,-86.44,0.476,2020-08-12
OBS-00225,frog,Pacific Coast,41.12,-95.36,0.982,2020-08-13
OBS-00226,bird,Prairie,47.019999999999996,-85.4,0.138,2020-08-14
OBS-00227,fish,Atlantic,44.24,-95.68,0.952,2020-08-15
OBS-00228,salamander,Great Lakes,47.18,-92.24,0.546,2020-08-16
OBS-00229,frog,Pacific Coast,49.46,-96.2,0.558,2020-08-17
OBS-00230,bird,Prairie,48.379999999999995,-94.28,0.25,2020-08-18
OBS-00231,fish,Atlantic,47.04,-95.0,0.408,2020-08-19
OBS-00232,salamander,Great Lakes,42.66,-92.2,0.454,2020-08-20
OBS-00233,frog,Pacific Coast,44.92,-88.84,0.572,2020-08-21
OBS-00234,bird,Prairie,47.74,-83.32,0.97,2020-08-22
OBS-00235,fish,Atlantic,44.18,-93.48,0.208,2020-08-23
OBS-00236,salamander,Great Lakes,40.1,-91.76,0.352,2020-08-24
OBS-00237,frog,Pacific Coast,42.24,-91.88,0.906,2020-08-25
OBS-00238,bird,Prairie,43.48,-83.0,0.132,2020-08-26
OBS-00239,fish,Atlantic,40.58,-91.44,0.65,2020-08-27
OBS-00240,salamander,Great Lakes,40.14,-99.28,0.158,2020-08-28
OBS-00241,frog,Pacific Coast,41.62,-97.52,0.17,2020-08-29
OBS-00242,bird,Prairie,44.56,-98.76,0.264,2020-08-30
OBS-00243,fish,Atlantic,44.2,-87.48,0.348,2020-08-31
OBS-00244,salamander,Great Lakes,44.86,-93.68,0.234,2020-09-01
OBS-00245,frog,Pacific Coast,45.52,-84.6,0.398,2020-09-02
OBS-00246,bird,Prairie,45.32,-86.96,0.086,2020-09-03
OBS-00247,fish,Atlantic,46.1,-87.32,0.998,2020-09-04
OBS-00248,salamander,Great Lakes,40.68,-98.96,0.328,2020-09-05
OBS-00249,frog,Pacific Coast,43.82,-87.96000000000001,0.754,2020-09-06
OBS-00250,bird,Prairie,49.96,-99.6,0.504,2020-09-07
OBS-00251,fish,Atlantic,44.3,-81.12,0.244,2020-09-08
OBS-00252,salamander,Great Lakes,49.7,-82.16,0.632,2020-09-09
OBS-00253,frog,Pacific Coast,42.2,-83.12,0.518,2020-09-10
OBS-00254,bird,Prairie,49.84,-80.56,0.316,2020-09-11
OBS-00255,fish,Atlantic,43.02,-98.92,0.246,2020-09-12
OBS-00256,salamander,Great Lakes,44.82,-87.4,0.382,2020-09-13
OBS-00257,frog,Pacific Coast,49.76,-99.88,0.466,2020-09-14
OBS-00258,bird,Prairie,43.72,-93.2,0.64,2020-09-15
OBS-00259,fish,Atlantic,43.5,-96.4,0.91,2020-09-16
OBS-00260,salamander,Great Lakes,44.34,-80.28,0.432,2020-09-17
OBS-00261,frog,Pacific Coast,44.26,-97.48,0.232,2020-09-18
OBS-00262,bird,Prairie,41.18,-83.08,0.578,2020-09-19
OBS-00263,fish,Atlantic,46.16,-88.48,0.058,2020-09-20
OBS-00264,salamander,Great Lakes,45.72,-92.56,0.912,2020-09-21
OBS-00265,frog,Pacific Coast,44.980000000000004,-98.64,0.478,2020-09-22
OBS-00266,bird,Prairie,45.019999999999996,-95.84,0.848,2020-09-23
OBS-00267,fish,Atlantic,48.2,-80.64,0.77,2020-09-24
OBS-00268,salamander,Great Lakes,48.78,-86.72,0.188,2020-09-25
OBS-00269,frog,Pacific Coast,40.42,-99.52,0.868,2020-09-26
OBS-00270,bird,Prairie,48.7,-99.48,0.974,2020-09-27
OBS-00271,fish,Atlantic,49.24,-82.52,0.734,2020-09-28
OBS-00272,salamander,Great Lakes,45.92,-97.76,0.186,2020-09-29
OBS-00273,frog,Pacific Coast,48.1,-92.64,0.752,2020-09-30
OBS-00274,bird,Prairie,44.04,-89.08,0.07,2020-10-01
OBS-00275,fish,Atlantic,40.66,-92.08,0.178,2020-10-02
OBS-00276,salamander,Great Lakes,40.5,-85.28,0.206,2020-10-03
OBS-00277,frog,Pacific Coast,47.4,-84.84,0.85,2020-10-04
OBS-00278,bird,Prairie,42.38,-94.56,0.106,2020-10-05
OBS-00279,fish,Atlantic,46.62,-80.92,0.254,2020-10-06
OBS-00280,salamander,Great Lakes,42.16,-96.8,0.192,2020-10-07
OBS-00281,frog,Pacific Coast,49.3,-86.36,0.668,2020-10-08
OBS-00282,bird,Prairie,48.86,-83.44,0.3,2020-10-09
OBS-00283,fish,Atlantic,46.42,-96.84,0.938,2020-10-10
OBS-00284,salamander,Great Lakes,41.36,-92.68,0.856,2020-10-11
OBS-00285,frog,Pacific Coast,48.8,-87.03999999999999,0.852,2020-10-12
OBS-00286,bird,Prairie,40.3,-93.44,0.276,2020-10-13
OBS-00287,fish,Atlantic,46.9,-88.08,0.52,2020-10-14
OBS-00288,salamander,Great Lakes,40.86,-96.52,0.862,2020-10-15
OBS-00289,frog,Pacific Coast,40.72,-89.24,0.376,2020-10-16
OBS-00290,bird,Prairie,42.02,-98.4,0.548,2020-10-17
OBS-00291,fish,Atlantic,48.88,-89.96000000000001,0.18,2020-10-18
OBS-00292,salamander,Great Lakes,45.58,-99.36,0.134,2020-10-19
OBS-00293,frog,Pacific Coast,41.1,-82.68,0.556,2020-10-20
OBS-00294,bird,Prairie,45.86,-98.88,0.266,2020-10-21
OBS-00295,fish,Atlantic,47.44,-84.24,0.004,2020-10-22
OBS-00296,salamander,Great Lakes,43.22,-98.68,0.45,2020-10-23
OBS-00297,frog,Pacific Coast,48.3,-99.0,0.554,2020-10-24
OBS-00298,bird,Prairie,47.7,-84.72,0.764,2020-10-25
OBS-00299,fish,Atlantic,48.96,-97.36,0.272,2020-10-26
OBS-00300,salamander,Great Lakes,43.46,-90.0,0.576,2020-10-27
OBS-00301,frog,Pacific Coast,46.66,-89.16,0.47,2020-10-28
OBS-00302,bird,Prairie,49.66,-95.08,0.812,2020-10-29
OBS-00303,fish,Atlantic,44.14,-88.64,0.304,2020-10-30
OBS-00304,salamander,Great Lakes,44.64,-81.4,0.598,2020-10-31
OBS-00305,frog,Pacific Coast,47.2,-83.48,0.482,2020-11-01
OBS-00306,bird,Prairie,49.32,-88.75999999999999,0.72,2020-11-02
OBS-00307,fish,Atlantic,41.54,-90.4,0.21,2020-11-03
OBS-00308,salamander,Great Lakes,43.28,-96.0,0.842,2020-11-04
OBS-00309,frog,Pacific Coast,43.62,-90.88,0.08,2020-11-05
OBS-00310,bird,Prairie,44.68,-81.84,0.172,2020-11-06
OBS-00311,fish,Atlantic,40.16,-94.68,0.566,2020-11-07
OBS-00312,salamander,Great Lakes,46.14,-82.08,0.864,2020-11-08
OBS-00313,frog,Pacific Coast,49.82,-98.24,0.966,2020-11-09
OBS-00314,bird,Prairie,46.28,-82.03999999999999,0.072,2020-11-10
OBS-00315,fish,Atlantic,42.4,-82.36,0.694,2020-11-11
OBS-00316,salamander,Great Lakes,47.34,-82.0,0.168,2020-11-12
OBS-00317,frog,Pacific Coast,40.48,-89.72,0.06,2020-11-13
OBS-00318,bird,Prairie,41.52,-96.92,0.584,2020-11-14
OBS-00319,fish,Atlantic,49.08,-88.72,0.162,2020-11-15
OBS-00320,salamander,Great Lakes,43.980000000000004,-93.56,0.028,2020-11-16
OBS-00321,frog,Pacific Coast,42.8,-95.76,0.148,2020-11-17
OBS-00322,bird,Prairie,49.62,-83.64,0.762,2020-11-18
OBS-00323,fish,Atlantic,44.94,-83.4,0.464,2020-11-19
OBS-00324,salamander,Great Lakes,46.2,-80.52,0.766,2020-11-20
OBS-00325,frog,Pacific Coast,47.26,-85.8,0.342,2020-11-21
OBS-00326,bird,Prairie,48.54,-84.12,0.126,2020-11-22
OBS-00327,fish,Atlantic,44.7,-89.36,0.36,2020-11-23
OBS-00328,salamander,Great Lakes,41.78,-87.2,0.39,2020-11-24
OBS-00329,frog,Pacific Coast,44.5,-93.6,0.732,2020-11-25
OBS-00330,bird,Prairie,42.96,-91.4,0.532,2020-11-26
OBS-00331,fish,Atlantic,41.16,-86.92,0.81,2020-11-27
OBS-00332,salamander,Great Lakes,46.96,-88.6,0.976,2020-11-28
OBS-00333,frog,Pacific Coast,44.0,-96.32,0.064,2020-11-29
OBS-00334,bird,Prairie,45.34,-84.32,0.534,2020-11-30
OBS-00335,fish,Atlantic,43.9,-89.4,0.564,2020-12-01
OBS-00336,salamander,Great Lakes,41.5,-97.68,0.934,2020-12-02
OBS-00337,frog,Pacific Coast,49.28,-98.28,0.792,2020-12-03
OBS-00338,bird,Prairie,45.68,-90.84,0.682,2020-12-04
OBS-00339,fish,Atlantic,42.34,-97.28,0.41,2020-12-05
OBS-00340,salamander,Great Lakes,42.76,-81.72,0.38,2020-12-06
OBS-00341,frog,Pacific Coast,40.74,-88.96,0.204,2020-12-07
OBS-00342,bird,Prairie,46.78,-82.2,0.936,2020-12-08
OBS-00343,fish,Atlantic,43.86,-85.0,0.686,2020-12-09
OBS-00344,salamander,Great Lakes,47.46,-85.6,0.116,2020-12-10
OBS-00345,frog,Pacific Coast,44.84,-80.36,0.6,2020-12-11
OBS-00346,bird,Prairie,42.18,-86.08,0.542,2020-12-12
OBS-00347,fish,Atlantic,43.04,-90.16,0.988,2020-12-13
OBS-00348,salamander,Great Lakes,42.0,-98.04,0.302,2020-12-14
OBS-00349,frog,Pacific Coast,48.08,-86.8,0.514,2020-12-15
OBS-00350,bird,Prairie,44.02,-98.72,0.498,2020-12-16
OBS-00351,fish,Atlantic,46.44,-81.8,0.816,2020-12-17
OBS-00352,salamander,Great Lakes,47.64,-84.68,0.886,2020-12-18
OBS-00353,frog,Pacific Coast,40.62,-100.0,0.338,2020-12-19
OBS-00354,bird,Prairie,45.12,-95.8,0.286,2020-12-20
OBS-00355,fish,Atlantic,44.42,-86.88,0.772,2020-12-21
OBS-00356,salamander,Great Lakes,41.22,-82.8,0.136,2020-12-22
OBS-00357,frog,Pacific Coast,49.879999999999995,-98.0,0.24,2020-12-23
OBS-00358,bird,Prairie,48.62,-90.64,0.438,2020-12-24
OBS-00359,fish,Atlantic,45.44,-80.32,0.552,2020-12-25
OBS-00360,salamander,Great Lakes,41.32,-91.16,0.724,2020-12-26
OBS-00361,frog,Pacific Coast,45.22,-93.32,0.948,2020-12-27
OBS-00362,bird,Prairie,44.9,-97.72,0.88,2020-12-28
OBS-00363,fish,Atlantic,40.9,-96.68,0.114,2020-12-29
OBS-00364,salamander,Great Lakes,46.84,-87.24,0.56,2020-12-30
OBS-00365,frog,Pacific Coast,45.38,-94.52,0.646,2020-12-31
OBS-00366,bird,Prairie,40.18,-81.68,0.718,2021-01-01
OBS-00367,fish,Atlantic,42.44,-80.68,0.708,2021-01-02
OBS-00368,salamander,Great Lakes,41.72,-84.16,0.402,2021-01-03
OBS-00369,frog,Pacific Coast,45.0,-85.52,0.778,2021-01-04
OBS-00370,bird,Prairie,47.86,-95.88,0.784,2021-01-05
OBS-00371,fish,Atlantic,40.36,-87.08,0.262,2021-01-06
OBS-00372,salamander,Great Lakes,44.66,-85.56,0.322,2021-01-07
OBS-00373,frog,Pacific Coast,46.52,-91.56,0.236,2021-01-08
OBS-00374,bird,Prairie,43.42,-90.6,0.666,2021-01-09
